quiz.properties|name=How to use LBH~~q_lang=en-US~~a_lang=en-US~~fontsize_q=30~~fontsize_a=24~~skipaudiomode=0~~
What is the simplest way to contribute a card set to shared repository?|Export it to any supported format and email to us
What are the differences between the free and the pro versions?|The free version does not let you add images and audios to your cards. There are also some export restrictions. The number of cards that can participate in audio training is restricted.
How can I be informed about app updates or when a new card set gets added to the shared repository?|Like the facebook page of the app. The address of the page is in help. Tap the ? button and you will find the link there. The page contains the information about app updates, new cardsets, tutorials etc
What is the public repository?|This is a website on the Internet where the shared card sets are stored. All people can download such sets into their own devices. The repository is open, everybody can contribute new card sets or fix mistakes.
Can I back up my card sets?|You can backup cardsets to your computer or Dropbox ( for Dropbox, you need to have a Dropbox account, of course)
Does the app have help?|Some screen have a button with the question mark. Tap this button to view the help screen
What is the science behind?|We tend to forget stuff as time passes. Newly memorized information items are stored in our short term memory. It is recommended to review items periodically, gradually increasing the time to next review until the item is in our long term memory
What is the hands free study mode, also known as "audio training"?|Your phone speak aloud the cards from your current study set with pauses between cards. This study mode is similar to listening to an MP3 file, but only the cards in your current set are played. Cards which you memorized or postponed do NOT participate, unless they are due soon. You don't listen to the cards that you have already memorized.
What is the main study mode?|You look at the question and try to answer it. After that you view the answer and compare your answer with the correct answer. If you dont know the answer, you memorize it, and schedule the card to appear again in a few cards. If you can answer the question correctly, schedule the card to disappear for a few days to check yourself later. After this period the card will be included in the study set again. Increase the review period until you are sure that you memorized the card. When this happens, mark the card as "I know". It won't be shown again, but will stay in the cardset for you reference. There is also a menu entry to completely delete a card
What import/export formats are supported?|Comma(,) separated values. Your text can not contain commas~~Pipe(vertical line) separated values. Your text can not contain pipe charactes.~~.ANKI 128 which is some old legacy format~~The native LBH format which is a ZIP file with all your cards. Any text is allowed there. Only this format supports images and audios.
Where are the cardsets stored?|The cardsets that you created yourself are stored only on your device
How can I create flashcards?|You can create cards using your phone, just tap the plus button. You can also create importable files using a computer.
What can I study? Is it only good for foreign language studies?| You can study anything you want.
Where can I get flashcards?|You can create sets yourself or download them from the shared repository online
What is a "talking" card?|When you study words in a foreign language, it is important to know word pronounciations. You can tap the mouth button to listen to the question or the answer. The audio is dynamically generated from text and does not occupy any storage on your phone.
How can LBH be described in a few words?|A "talking" flashcard set where you can schedule when each card appears again until you memorize it. ~~Both the question and the answer of each card can have attached images and audio recordings. ~~You can edit each card using your device.
What is LBH?|A universal study tool (smart flashcards)

