quiz.properties|name=Supplements~~q_lang=en-US~~a_lang=en-US~~fontsize_q=32~~fontsize_a=30
Butea superba|Butea Superba (Red Kwao Krua) is a herb from Thai medicine sometimes thought to be the male equivalent of Pueraria Mirifica, a phytoestrogen known as White Kwao Krua; evidence for Butea Superba for these claims is lacking. Butea Superba is a tuber vegetable that looks visibly similar to Pueraria Mirifica yet appears to be opposite in effect. This tuber has traditionally been used for the enhancement of male vitality and as an aphrodisiac in Thailand, and appears to be a source of androgenic compounds.~~~~When studies investigated the androgenic effects, there appears to be the classical signs of direct androgenic activation (particularly, an increase in liver enzymes in some studies and growth of male sex organs; a decrease in testosterone levels in serum has been noted possibly due to negative feedback) but unlike its sister herb (Pueraria Mirifica) the bioactives mediating these androgenic effects are not currently known nor are their potencies relative to testosterone known.~~~~Low doses of Butea Superba appear to be safe for human consumption, based on limited evidence, although higher doses have been connected to mutagenicity in mice (300-1000mg/kg, a human equivalent of 48mg/kg or above) and as such are not advisable.~~~~Both studies on Butea Superba and its erectogenic effects appear to have their flaws, so although this herb could potentially be an erectogenic aid it is currently not proven to do so.
Butea monosperma|Butea monosperma is a herb that contains a variety of methoxylated isoflavones, and some of these isoflavones (cajanin) and other bioactives such as medicarpin can preserve bone mass with a potency similar or greater than estrogen itself, although some are nonestrogenic. Butea monosperma is a traditional Indian medicinal tree that also serves as an ornamental tree due to its vibrant red flowers that it bears, resulting in the common name of 'Flame of the Forest'. It appears to mostly be recommended as a general health tonic and for the treatment of liver disorders.~~~~The potential uses for this plant seem wholly different from its traditional uses, as it has shown some potential antidiabetic effects in rats (which need to be further investigated since we have no clue how they exert their benefits at this moment in time) but is most promising for the treatment of osteoporosis. A few flavonoids in this plant (Cajanin and Cladrin in particular) and one other molecule (Medicarpin) are structureally similar to isoflavones, and appear to be very potent at promoting bone health. Studies using these molecules in vitro have noted their effective doses compare with that of estrogen itself and they are just as potent (if not nonsignificantly more potent) at promoting bone growth; despite the potency, medicarpin is only slightly estrogenic and both Cajanin and Cladrin appear to be nonestrogenic.~~~~Cajanin, Cladrin, Medicarpin, and one other flavonoid known as Isoformononetin all appear to be highly active in rats following an oral dose of 10mg/kg (human equivalent of 1.6mg/kg), and have been noted to fully prevent bone losses assocaited with menopause with daily ingestion. Despite the potency observed, however, human studies have not yet been conducted.
Bulbine natalensis|Bulbine Natalensis is a traditionally used aphrodisiac and Testosterone Booster in South and South-Eastern Africa; in rat studies, it appears to both be quite potent in increasing testosterone but also appears to damage organ function in a similar manner to a steroid cycle. Bulbine Natalensis is an herb from Southern and South Eastern Africa that has traditionally been used as an aphrodisiac as well as some other beneficial properties. Due to its influences on cognition and sexuality, it is currently being investigated for its effects on testosterone.~~~~Three separate rat studies looking at serum testosterone levels note significant increases in circulating testosterone, and one study noted a decrease in estrogen levels as well. That being said, adverse effects have been reported on both the liver and kidneys with the exact same dosages seen to increase testosterone.
Bryonia laciniosa|An Ayurveda herb used traditionally as an aphrodisiac and pro-fertility compound, touted to increase masculinity and enhance youthfulness during aging. It belongs to the category of Vrishya rasayana alongside Anacyclus Pyrethrum. Bryonia Laciniosa is an Ayurvedic herb used traditionally as an aphrodisiac and pro-fertility compound, touted to increase masculinity and enhance youthfulness during aging. It belongs to the category of Vrishya rasayana alongside Anacyclus Pyrethrum.~~~~Research on this compound is preliminary, but it appears to be a potential testosterone booster as evidenced by one study done in rats.
Bromelain|Bromelain is an enzyme extracted from pineapples. It can reduce heart burn and act as a nasal decongestant. Bromelain, also called ‘pineapple extract,’ is a combination of several compounds, including a large amount of a special protein-digesting enzyme. This enzyme is able to be digested and thus affect the blood and body, rather than just the stomach and intestines.~~~~When Bromelain is in the stomach, it will help the body break down and digest protein. Supplementation of bromelain can also reduce nasal inflammation, meaning it acts as a decongestant.~~~~If taken between meals, bromelain can benefit the immune system and protect the body from cancer. Bromelain’s effects on fat cells are also under investigation, with promising preliminary evidence.~~~~Bromelain’s anti-inflammatory properties are responsible for several of its effects, including its ability to decongest the nasal cavity. Further research is needed to determine the mechanism through which bromelain survives the digestive system.~~~~There are many anecdotes that say bromelain supplementation will cause semen to taste like pineapple, but no studies have tested this claim.
Brassinosteroids|A bunch of 'plant steroid' molecules (like ecdysteroids are insect steroids) that are present in relatively high amounts in mustard; still nowhere near enough to get jacked off of mustard. Have not been shown to be effective in humans yet, remains an unexplored research field.  Brassinosteroids are a class of steroid compounds found in plants, used to regulate and induce plant growth. They share many similarities with human steroid hormones, but are generally at too low of a dose to exert effects in humans (on hormonal profiles) via food consumption.~~~~They have been implicated in mouse models on skeletal muscle growth, and in some cell lines show promise at being anti-carcinogens (cancer protective).
Brassica vegetables|A group of vegetables that are commonly associated with each other and share some bioactives, such as Diindolylmethane or Sulforaphane. Broccoli, Cauliflower, Brussel Sprouts, and Mustard are Brassica veggies. A family of vegetables known for their anti-cancer and anti-estrogenic properties, as well as just being generally 'healthy'.~~~~They possess a set of compound unique to them, and may exert benefits through doses found in foods rather than supplementation.
Branched Chain Amino Acids|Branched Chain Amino Acids (BCAAs) are three amino acids that benefit muscle growth. They're not only found in supplements, but also in high levels in foods such as eggs or meat, rendering supplementation unnecessary for most people. Branched Chain Amino Acids (BCAAs) refers to three amino acids: leucine, isoleucine, and valine.~~~~For people with low dietary protein intake, BCAA supplementation can promote muscle protein synthesis and increase muscle growth over time. Supplementation can also be used to prevent fatigue in novice athletes.~~~~Leucine plays an important role in muscle protein synthesis, while isoleucine induces glucose uptake into cells. Further research is needed to determine valine’s role in a BCAA supplement.~~~~Supplementing BCAAs prevents a serum decline in BCAAs, which occurs during exercise. A serum decline would normally cause a tryptophan influx into the brain, followed by serotonin production, which causes fatigue.~~~~BCAAs are important to ingest on a daily basis, but many protein sources, such as meat and eggs, already provide BCAAs. Supplementation is unnecessary for people with a sufficiently high protein intake (1-1.5g per kg of bodyweight a day or more).
Boswellia serrata|An Ayurvedic herb also classified as a phytopharmaceutical (H15; Europe) which appears to be quite anti-inflammatory, helpful against osteoarthritis, and may help cerebral edema. Boswellia serrata appears to have preliminary evidence for anti-inflammatory joint disorders. Boswellia Serrata is a gum resin extracted from a tree, which is sometimes burnt (the entire species of Boswellia is commonly known as Frankinsence) as an aromatic or otherwise administered as medicine. It has most usage for medicine in Ayurvedic medicine, some reading into Traditional Chinese Medicine, and its usage extends to the Middle East and other tropical regions.~~~~Boswellia Serrata, via its active boswellic acids, appears to be a novel inhibitory of a pro-inflammatory enzyme called 5-Lipoxygenase and may possess other anti-inflammatory effects (such as nF-kB inhibition, which are not as novel). These anti-inflammatory effects have been investigated for their benefits in osteoarthritis (OA), and it appears that oral Boswellia supplements can suppress pain and immobility associated with OA quite significantly with the effects taking as little as a week to occur. The studies are well conducted, but funded by the producers of the tested supplements. There are limited non-funded interventions with Boswellic for this claim, but they seem to agree with the battery of funded study in effect size.~~~~Remarkably, Boswellia appears to be quite anti-cancer that appears to be more anti-proliferative rather than apoptotic (the latter meaning to induce regulated cell death) since it is a potent inhibitor of angiogenesis and cell invasiveness. There are not a large battery of studies on these claims, but preliminary mouse and rat evidence where the rodents are injected with tumors suggest that Boswellia can potently suppress tumor growth (Pancreatic, Colorectal) and in some cases actually outright prevent tumor growth (Prostatic, Glioma). Boswellia appears to be a very promising anti-cancer herb due to the potency it exhibits in animals, with one study noting this after oral administration (100mg/kg of the main boswellic acid in animals). The potency has been replicated in other cancer cell lines in vitro (including breast, cervical, myeloma and leukemia) but these cancers do not yet have animal interventions yet.~~~~Boswellia appears to be fairly nontoxic, has a history of usage as a phytopharmaceutical for brain edema associated with radiotherapy (a cancer treatment), and the general anti-inflammatory and anti-cancer effects make it a fairly interesting herb relative to others that have subpar evidence.
Boron|Boron is a dietary mineral which is claimed to increase testosterone when supplemented at doses higher than from food.
