quiz.properties	name=Toefl, Set 1<br />q_lang=en-US<br />a_lang=en-US<br />fontsize_q=40<br />fontsize_a=30<br />skipaudiomode=3
bring about (phrasal verb)	to cause to happen; produce an effect.<br /><br /> The creation of a national railroad system brought about big changes in the economy of the Midwest and west. <br />Related: cause, lead to, result in
acute (adjective)	having the characteristics of being very serious or intense; reaching the point of crisis.<br /><br /> Natural disasters often produce acute needs for medicine, food and water. <br />Related: critical, crucial, desperate
apparent (adjective)	easily seen or perceived; easily understood.<br /><br /> The apparent failure of dinosaurs to adjust to changes in the weather caused their extinction. <br />Related: clear–cut, evident, obvious
attribute (noun)	an identifying characteristic or feature of something.<br /><br /> One of Thomas Edison's most famous attributes was his persistence. <br />Related: aspect, trait, quality
dwelling (noun)	a building where one resides.<br /><br /> The Hopi Indians carved their dwellings into large stone cliffs. <br />Related: abode, home, lodging
encompass (verb)	to contain or include certain parts.<br /><br /> The field of linguistics encompasses the areas of social, applied and theoretical language study. <br />Related: consist of, contain, embody
every so often (adverb expression)	referring to events that occur occasionally or at no specific time.<br /><br /> Every so often the Colima volcano in Mexico sends huge clouds of smoke into the air. <br />Related: every now and then, once in a while, now and again
contrast (verb)	to point out differences between two or more things or people by comparing the characteristics of each.<br /><br /> In the 1960s, suburban growth, contrasted with that of urban areas, showed a movement away from cities. <br />Related: balanced against, compared to, distinguished from
get rid of (verb)	discard, to cast aside, reject.<br /><br /> Medieval authorities generally got rid of the belief that the world was round. <br />Related: dispose of, throw away, discard
indicative of (adjective)	serving as proof or a symbol of something.<br /><br /> The students's lab results were indicative of the high quality of their research methods and their creative problem–solving strategies. <br />Related: evidence of, representative of, verification of
melt (verb)	to change from a solid state to a liquid state.<br /><br /> Water melts at temperatures above 32 degrees Fahrenheit. <br />Related: liquefy, thaw
heyday (noun)	the high point of power, success or popularity.<br /><br /> The West experienced its nineteenth century economic heyday during the famous California gold rush of the 1840s. <br />Related: apex, pinnacle, zenith
portray (verb)	to describe someone or something in a specific way.<br /><br /> Some historians portray the development of the Internet as one of the most important scientific advancements of the twentieth century. <br />Related: depict, render, represent
put on the back burner (expression)	to postpone to a future time.<br /><br /> Due to lack of funding, the transportation project was put on the back burner. <br />Related: defer, delay, suspend
recover (verb)	to rebuild or return to a previous condition or state.<br /><br /> The economy recovered its strength after a long period of poor economic growth. <br />Related: recoup, recuperate, regain
slender (adjective)	the quality of being thin.<br /><br /> Snakes have long, slender bodies. <br />Related: slim, skinny
staple (adjective)	a principal ingredient or major element of something.<br /><br /> Corn, beans and squash were staple foods of the Hopi Indian diet. <br />Related: chief, essential, prime
