quiz.properties|name=Toefl_ Set 1~~counttotal=175~~q_lang=en-US~~a_lang=en-US~~exported_time=2/25/2019 12:43:49 PM~~fontsize_q=40~~fontsize_a=30~~skipaudiomode=3~~
take to (phrasal verb)|to like something or someone, usually right away.~~~~ Although life was difficult for the early settlers of the West, they quickly took to their homeland and its lifestyle. ~~Related: become fond of, enjoy, take pleasure in
stature (noun)|a certain high standing among other people or things.~~~~ John Steinbeck earned stature as a great American author for his ability to describe the real lives of ordinary people of the early 1900s. ~~Related: prominence, rank, status
withstand (verb)|to successfully endure a condition; to accept.~~~~ Modern jet engines, which can withstand long periods of operation, make trans–Pacific air travel possible. ~~Related: survive, tolerate
turn into (phrasal verb)|to become; to turn out to be.~~~~ After a butterfly pupa breaks out of its cocoon, it turns into a beautiful butterfly. ~~Related: convert into, develop into, grow to be
ominous (adjective)|being of the feeling that something bad is going to happen.~~~~ One of the ominous signs that a forest is under attack by an insect is the appearance of large groups of dead trees. ~~Related: foreboding, menacing, threatening
put up with (expression)|to tolerate; to accept a bad situation without complaining.~~~~ Immigrants must often put up with difficult adjustments to life in their new land. ~~Related: bear, endure, suffer
hinder (verb)|to block or interfere with a process.~~~~ The unplanned growth of cities often hinders the development of public roads and transportation systems. ~~Related: hamper, interfere, obstruct
grasp (verb)|to come to an understanding.~~~~ It is very difficult to grasp the enormous size of the galaxy. ~~Related: comprehend, follow
landmark (adjective)|an important change, discovery, or event.~~~~ The signing of the United States Declaration of Independence was a landmark historical event. ~~Related: breakthrough, innovative, milestone
eager (verb)|to be excited about doing something.~~~~ Harriet Tubman, founder of Underground Railroad, was eager to help slaves escape from their owners and lead them to freedom~~Related: enthusiastic, ready, willing
discreetly (adv)|something done in a quiet, private way with great skill.~~~~ When a manager must tell an employee that his job has been eliminated, the situation must be handled discreetly. ~~Related: cautiously,prudently, tactfully
apply in (verb)|something that is important to or appropriate for a situation.~~~~ English rules of grammar cannot be applied in all cases due to the fact that there are many exceptions to the rules. ~~Related: be relevant, pertain to, relate to
ample (adjective)|having more than enough of something; sufficient.~~~~ Because farming families of the early 1900s were large, their houses had to have ample living space for all family members. ~~Related: abundant, plentiful, substantial
wholesome (adjective)|something that is healthy or good for someone.~~~~ A wholesome lifestyle improves a person's quality of life in his or her latter years. ~~Related: clean, decent, moral
urge (verb)|to strongly encourage someone to follow a suggestion or advice.~~~~ The professor urged his students not to wait until the last minute to complete their laboratory work. ~~Related: compel, drive, push
tangible (adjective)|something that is real; can be sensed.~~~~ The tangible results of a daily exercise program are increased energy, more flexibility and improved strength. ~~Related: actual, concrete, substantial
recall (verb)|to remember; to bear in mind.~~~~ People who suffer from amnesia cannot recall events of the past. ~~Related: call to mind, recollect, remind
outcome of (noun)|the result of an action or activity.~~~~ One of the outcomes of the United States Civil War was the end to slavery. ~~Related: consequence, effect, end result
shortage of (noun)|something that is not found in sufficient quantities; a lack.~~~~ In many areas of the world there is a shortage of clean drinking water. ~~Related: deficiency, dearth, scarcity
set off (verb)|to cause a series of actions to start.~~~~ The government's tax cut set off strong consumer spending, hence improving the nation's economy. ~~Related: begin, cause, trigger
reveal (verb)|to show; to make something known to others.~~~~ As fall approaches and trees stop producing chlorophyll, their leaves reveal their true colors: yellow, orange, purple and gold. ~~Related: disclose, expose, make public
hence (adv)|as a result; therefore.~~~~ The flowers and leaves of a plant found in Eurasia produce a spray that can be burned; hence the names "gas plant" and "burning bush" were given to the plant/. ~~Related: consequently, thus
forefront of (noun)|something in the first or highest position.~~~~ Japanese auto makers are in the forefront of developing cars that operate on both gas and electricity. ~~Related: front, head, vanguard
noticeably (adjective)|something that is easily seen or understood.~~~~ After summer thunderstorms, the air temperature is noticeably cooler. ~~Related: clearly, evidently, visibly
map (verb)|to produce a plan, usually involving many steps.~~~~ In order for students to be successful in their studies, they should map out strategies that will lead them to academic success. ~~Related: chart, plot
engage in (expression)|to participate in an activity.~~~~ To be well prepared for college, a student should not earn good grades but also engage in after–school activities. ~~Related: take part in, undertake
drawback (noun)|a disadvantage.~~~~ One drawback of electric–powered cars is their short battery life. ~~Related: downside, problem, shortcoming
diligent (adjective)|hard–working; paying attention to details.~~~~ Bertrand Russell was a diligent mathematician and philosopher. ~~Related: conscientious, meticulous, thorough
deliberately (adv)|done on purpose; done with a prior plan.~~~~ By using genetic engineering, genes can be deliberately changed to produce new types of fruits and vegetables. ~~Related: by design, intentionally, purposely
astounding (adjective)|very surprising; unbelievable.~~~~ The amount of water flowing over Niagara Falls is an astounding 600,000 gallons of water per second. ~~Related: amazing, astonishing, surprising
acclaim (noun)|something that deserves praise for its high quality or standing.~~~~ Albert Einstein received international acclaim after his theory of relativity was accepted by the Royal Society of London in 1919. ~~Related: applause, approval, commendation
come across (expression)|to find, usually unintentionally.~~~~ While exploring the Grand Canyon National Park, tourists come across one astounding view after another. ~~Related: come upon, encounter, fall upon
cease (verb)|to stop.~~~~ Many scientists agree that the destruction of tropical rain forests must cease in order to protect the earth's most important producers of oxygen. ~~Related: conclude, end, finish
blend (noun)|a mixture.~~~~ The population of the USA is a blend of people, language and cultures from all over the world. ~~Related: assortment, combination, mixture
chore (noun)|an activity that is performed regularly especially around the house.~~~~ Before Florence Nightingale improved the image of nursing, the jobs of nurses were considered simple chores for women with little or no education. ~~Related: duty, job, task
burst (noun)|an unexpected short period of intense or increased activity.~~~~ Dolphins can swim at speeds of up to thirty miles per hour, with occasional bursts of up to forty miles per hour. ~~Related: eruption, spurt, surge
boost (noun)|something that causes growth or improvement.~~~~ The landing of a manned spacecraft on the moon in 1969 gave a boost to the United States space program during the 1970s. ~~Related: enhance, improve, increase
feasible (adjective)|likely to happen; possible and probable.~~~~ The use of rubber wheels was not feasible until 1839, when Charles Goodyear invented a process that made rubber stronger. ~~Related: realistic, reasonable, viable
cosmetic (adjective)|something done very quickly, with little attention to quality or detail.~~~~ Many home owners make cosmetic repairs to their homes before selling them. ~~Related: hasty, rapid, superficial
misgiving about (noun)|a feeling of uncertainty or fear that something will not happen as planned or expected.~~~~ As Vice President under Ronald Reagan, George Bush did not discuss his misgivings about the President's economic plan. ~~Related: doubt, hesitation, worry
linger (verb)|to remain in a place longer than usual.~~~~ Even in the summer, snow frequently lingers on the tops of Hawaii's highest mountains. ~~Related: hang back, remain, stay behind
inhabitant (noun)|a person who lives in a specific area.~~~~ Among the most important early inhabitants of western Alaska were the Eskimo. ~~Related: dweller, occupant, resident
halt (verb)|to stop.~~~~ Jonas Salk developed the first vaccine against poliomyelitis, which halted the spread of the serious disease in 1950s. ~~Related: discontinue, finish, freeze
somewhat (adv)|a little; just slightly.~~~~ The rules of many card games differ somewhat from country to country. ~~Related: a bit, to some extent
saturate with (verb)|to make something wet; to be completely full of something.~~~~ Dew occurs when warm air, which is fully saturated with water, cools, leaving drops of water on grassy areas. ~~Related: douse, drench, soak
